,ESN_test,ESN_pred,DSN_test,DSN_pred,HSN_test,HSN_pred,ARIMA_test,ARIMA_pred,LSTM_test,LSTM_pred,GRU_test,GRU_pred
0,-0.0037154864998134585,-0.001855040543163643,-0.0037154864998134585,-0.012603190922303581,-0.0037154864998134585,-0.0034470224035258287,-0.00920680080080949,0.0017699712981748663,0.015775296260446048,0.0059143826,0.015775296260446048,-0.003263466
1,0.0006307158834122362,-0.0020062963952775046,0.0006307158834122362,-0.0107123072995432,0.0006307158834122362,-0.0033087866864750346,0.001967272386236729,0.0018491049046036824,-0.0037154864998134585,-0.001524359,-0.0037154864998134585,-0.007879411
2,-0.03027721913146042,-0.00214839119393353,-0.03027721913146042,-0.008914596374962391,-0.03027721913146042,-0.0031645260580637044,0.00011910433553907751,0.0022851220335309594,0.0006307158834122362,0.000118389726,0.0006307158834122362,-0.004059828
3,-0.00286365311217196,-0.0022818059681547157,-0.00286365311217196,-0.007202807737561989,-0.00286365311217196,-0.003015147746663321,0.0005953089829340286,0.00227602609303811,-0.03027721913146042,-0.00069379807,-0.03027721913146042,-0.0060593123
4,-0.00614541683019354,-0.002407016021952287,-0.00614541683019354,-0.005575165948163208,-0.00614541683019354,-0.002861561953216668,0.010360946419971206,0.0022468168114457617,-0.00286365311217196,-0.0023879372,-0.00286365311217196,-0.0010528639
5,0.007252800586650565,-0.002524487140638904,0.007252800586650565,-0.004032704910197471,0.007252800586650565,-0.0027046757054658807,-0.006559338039898499,0.0022467789933060395,-0.00614541683019354,-0.0021699741,-0.00614541683019354,-0.0047707073
6,-0.0025422913859092233,-0.002634672425801352,-0.0025422913859092233,-0.002577808904474871,-0.0025422913859092233,-0.002545386718793435,-0.004277827211621954,0.002247845711395765,0.007252800586650565,-0.0020087843,0.007252800586650565,0.0014951983
7,-0.002483336787917345,-0.002738009733727233,-0.002483336787917345,-0.0012134111995975583,-0.002483336787917345,-0.0023845772972965027,-0.005852160497435754,0.0022470021307825472,-0.0025422913859092233,0.00034739636,-0.0025422913859092233,-0.00084505556
8,0.006326864531798648,-0.0028349196775842665,0.006326864531798648,5.7474193949996755e-05,0.006326864531798648,-0.0022231083118883607,0.030900506755942914,0.002246100083713491,-0.002483336787917345,0.0031988472,-0.002483336787917345,0.0032769125
9,-0.011772536225267416,-0.002925804144290301,-0.011772536225267416,0.001232138863095339,-0.011772536225267416,-0.0020618132950043053,-0.03000254506849842,0.0022453230344431038,0.006326864531798648,0.011927779,0.006326864531798648,0.0032623038
10,-0.012378935422062476,-0.0018355487777153862,-0.012378935422062476,-0.011851267064280885,-0.012378935422062476,-3.7219917715364e-05,0.005311384193000812,0.002386626727022785,-0.011772536225267416,0.011927779,-0.011772536225267416,0.0032623038
11,-0.005610862358714996,-0.0019399082107256303,-0.005610862358714996,-0.009558919538657035,-0.005610862358714996,7.249621281464917e-05,-0.006209345880445305,0.0003794761666710547,-0.012378935422062476,0.011927779,-0.012378935422062476,0.0032623038
12,-0.009624842936545086,-0.002037689023541173,-0.009624842936545086,-0.007413731497254744,-0.009624842936545086,0.00017105945442776353,-0.0014384179884983084,0.0023395710766177698,-0.005610862358714996,0.011927779,-0.005610862358714996,0.0032623038
13,0.0076804258165052985,-0.002129302447155349,0.0076804258165052985,-0.0054076278520422405,0.0076804258165052985,0.00025825369957367976,-0.00041992861830664197,0.002441360630556566,-0.009624842936545086,0.011927779,-0.009624842936545086,0.0032623038
14,-0.024113921004248695,-0.002215166026514998,-0.024113921004248695,-0.003536570816451645,-0.024113921004248695,0.00033397377931395104,-0.000780335583881353,0.00230614408099942,0.0076804258165052985,0.011927779,0.0076804258165052985,0.0032623038
15,-0.001995802596341356,-0.00229569603357962,-0.001995802596341356,-0.0017985820035099076,-0.001995802596341356,0.00039822684097874953,-0.002043761230747343,0.002300517873546923,-0.024113921004248695,0.011927779,-0.024113921004248695,0.0032623038
16,-0.01870513111572869,-0.0023713011360727305,-0.01870513111572869,-0.00019275726402981364,-0.01870513111572869,0.00045113269117393355,-0.004281370546221019,0.0023087390686942423,-0.001995802596341356,0.011927779,-0.001995802596341356,0.0032623038
17,0.01116784134424087,-0.0024423772650677775,0.01116784134424087,0.0012812822135557234,0.01116784134424087,0.0004929230535598741,0.00289645387145665,0.002307968136991212,-0.01870513111572869,0.011927779,-0.01870513111572869,0.0032623038
18,0.01686264533723225,-0.0025093035932158368,0.01686264533723225,0.00262544983702076,0.01686264533723225,0.0005239397094768008,-0.013405920949306704,0.0023064119783527148,0.01116784134424087,0.011927779,0.01116784134424087,0.0032623038
19,0.01691858721496775,-0.002572439516229064,0.01691858721496775,0.004182796552097939,0.01691858721496775,0.0005446315111967306,0.004508903568705591,0.002305476827625887,0.01686264533723225,0.011927779,0.01686264533723225,0.0032623038
20,0.009882559063348673,0.0007186389691793259,0.009882559063348673,-0.0004036481367037381,0.009882559063348673,0.001985089168968407,-0.014698041559982222,0.0012232735181321348,0.01691858721496775,0.011927779,0.01691858721496775,0.0032623038
21,-0.0038612656988181726,0.0005726932919869459,-0.0038612656988181726,0.0006744937425723907,-0.0038612656988181726,0.0021252355557999816,-0.0071201118060972846,0.0027204785174277085,0.009882559063348673,0.011927779,0.009882559063348673,0.0032623038
22,0.00046680671715648714,0.00043284987838054616,0.00046680671715648714,0.0016649008778759633,0.00046680671715648714,0.0022446847896294866,-0.03728397917152915,0.001635048692513581,-0.0038612656988181726,0.011927779,-0.0038612656988181726,0.0032623038
23,0.011138482856036802,0.0002993730848767969,0.011138482856036802,0.0025681641996739,0.011138482856036802,0.0023433008348890563,-0.0018721157141454725,0.0015007174241953337,0.00046680671715648714,0.011927779,0.00046680671715648714,0.0032623038
24,0.006833589901785508,0.0001723209430013247,0.006833589901785508,0.003385061839526138,0.006833589901785508,0.0024211156909816514,0.0013560199669315764,0.0015794335005639125,0.011138482856036802,0.011927779,0.011138482856036802,0.0032623038
